workload                     | b time us s time us   b/s | b reg s reg | b smem s smem | b occ% s occ% | b dram% s dram%
------------------------------------------------------------------------------------------------------------------------
E= 2^16 k=  2^3 ent=1.000    |      13.1      11.0  1.19 |    24    31 |   9344   9344 |   24.8   24.8 |     0.3     0.3
E= 2^20 k=  2^3 ent=1.000    |      14.3      19.3  0.74 |    24    31 |   9344   9344 |   39.4   85.4 |     3.8     2.9
E= 2^24 k=  2^3 ent=1.000    |      52.9      36.9  1.43 |    24    31 |   9344   9344 |   92.7   91.9 |    16.6    23.8
E= 2^28 k=  2^3 ent=1.000    |     762.8     350.8  2.17 |    24    31 |   9344   9344 |   97.2   87.5 |    18.4    39.9
E= 2^16 k=  2^8 ent=1.000    |      12.0      10.7  1.12 |    24    31 |   9344   9344 |   24.8   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=1.000    |      13.7      19.1  0.72 |    24    31 |   9344   9344 |   37.5   85.3 |     4.0     2.9
E= 2^24 k=  2^8 ent=1.000    |      53.2      37.4  1.42 |    24    31 |   9344   9344 |   92.9   92.0 |    16.4    23.5
E= 2^28 k=  2^8 ent=1.000    |     692.3     351.9  1.97 |    24    31 |   9344   9344 |   96.7   87.6 |    20.2    39.8
E= 2^16 k= 2^13 ent=1.000    |      12.7      10.8  1.17 |    24    31 |   9344   9344 |   24.7   24.8 |     0.3     0.3
E= 2^20 k= 2^13 ent=1.000    |      14.5      19.7  0.74 |    24    31 |   9344   9344 |   39.0   85.1 |     3.8     2.8
E= 2^24 k= 2^13 ent=1.000    |      53.3      36.5  1.46 |    24    31 |   9344   9344 |   92.6   91.8 |    16.4    24.0
E= 2^28 k= 2^13 ent=1.000    |     693.9     354.5  1.96 |    24    31 |   9344   9344 |   96.6   87.3 |    20.2    39.5
E= 2^20 k= 2^18 ent=1.000    |      13.9      19.2  0.72 |    24    31 |   9344   9344 |   39.6   85.2 |     4.0     2.9
E= 2^24 k= 2^18 ent=1.000    |      53.3      37.7  1.42 |    24    31 |   9344   9344 |   92.6   92.0 |    16.4    23.3
E= 2^28 k= 2^18 ent=1.000    |     696.4     353.3  1.97 |    24    31 |   9344   9344 |   96.7   87.4 |    20.1    39.6
E= 2^24 k= 2^23 ent=1.000    |      53.4      36.3  1.47 |    24    31 |   9344   9344 |   92.7   91.8 |    16.4    24.2
E= 2^28 k= 2^23 ent=1.000    |     708.6     354.5  2.00 |    24    31 |   9344   9344 |   97.0   87.3 |    19.8    39.5
E= 2^16 k=  2^3 ent=0.201    |      12.6      10.6  1.19 |    24    31 |   9344   9344 |   24.3   24.7 |     0.3     0.3
E= 2^20 k=  2^3 ent=0.201    |      13.7      15.3  0.89 |    24    31 |   9344   9344 |   36.8   84.3 |     4.0     3.6
E= 2^24 k=  2^3 ent=0.201    |      46.8      36.9  1.27 |    24    31 |   9344   9344 |   89.8   88.9 |    18.7    23.8
E= 2^28 k=  2^3 ent=0.201    |     540.8     406.2  1.33 |    24    31 |   9344   9344 |   89.2   83.0 |    25.9    34.5
E= 2^16 k=  2^8 ent=0.201    |      12.8      10.9  1.17 |    24    31 |   9344   9344 |   24.3   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=0.201    |      13.2      16.3  0.81 |    24    31 |   9344   9344 |   38.1   84.9 |     4.2     3.4
E= 2^24 k=  2^8 ent=0.201    |      44.0      37.6  1.17 |    24    31 |   9344   9344 |   93.3   88.9 |    19.9    23.3
E= 2^28 k=  2^8 ent=0.201    |     540.5     410.0  1.32 |    24    31 |   9344   9344 |   89.2   83.0 |    25.9    34.2
E= 2^16 k= 2^13 ent=0.201    |      13.0      11.0  1.18 |    24    31 |   9344   9344 |   24.3   24.8 |     0.3     0.3
E= 2^20 k= 2^13 ent=0.201    |      12.9      16.2  0.80 |    24    31 |   9344   9344 |   39.2   84.8 |     4.3     3.4
E= 2^24 k= 2^13 ent=0.201    |      43.5      38.4  1.13 |    24    31 |   9344   9344 |   92.8   88.7 |    20.2    22.9
E= 2^28 k= 2^13 ent=0.201    |     538.6     409.0  1.32 |    24    31 |   9344   9344 |   89.2   83.0 |    26.0    34.2
E= 2^20 k= 2^18 ent=0.201    |      13.1      15.6  0.84 |    24    31 |   9344   9344 |   38.9   84.8 |     4.2     3.5
E= 2^24 k= 2^18 ent=0.201    |      43.0      38.8  1.11 |    24    31 |   9344   9344 |   93.5   89.1 |    20.4    22.6
E= 2^28 k= 2^18 ent=0.201    |     539.8     410.4  1.32 |    24    31 |   9344   9344 |   89.2   83.0 |    25.9    34.1
E= 2^24 k= 2^23 ent=0.201    |      42.9      38.5  1.12 |    24    31 |   9344   9344 |   93.2   88.6 |    20.4    22.8
E= 2^28 k= 2^23 ent=0.201    |     540.9     405.2  1.34 |    24    31 |   9344   9344 |   89.2   82.9 |    25.9    34.5
E= 2^16 k=  2^3 ent=0.000    |      12.3      11.0  1.12 |    24    31 |   9344   9344 |   23.9   24.7 |     0.3     0.3
E= 2^20 k=  2^3 ent=0.000    |      12.7      11.6  1.09 |    24    31 |   9344   9344 |   41.9   82.2 |     4.4     4.8
E= 2^24 k=  2^3 ent=0.000    |      35.7      27.8  1.28 |    24    31 |   9344   9344 |   91.6   96.9 |    24.6    31.6
E= 2^28 k=  2^3 ent=0.000    |     470.5     261.1  1.80 |    24    31 |   9344   9344 |   84.3   97.2 |    29.8    53.7
E= 2^16 k=  2^8 ent=0.000    |      12.2      10.8  1.12 |    24    31 |   9344   9344 |   23.9   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=0.000    |      13.2      12.5  1.05 |    24    31 |   9344   9344 |   41.7   82.0 |     4.2     4.4
E= 2^24 k=  2^8 ent=0.000    |      37.0      28.1  1.31 |    24    31 |   9344   9344 |   91.2   96.7 |    23.7    31.2
E= 2^28 k=  2^8 ent=0.000    |     469.4     259.6  1.81 |    24    31 |   9344   9344 |   84.3   97.2 |    29.8    53.9
E= 2^16 k= 2^13 ent=0.000    |      13.0      11.1  1.17 |    24    31 |   9344   9344 |   24.5   24.7 |     0.3     0.3
E= 2^20 k= 2^13 ent=0.000    |      12.5      11.8  1.06 |    24    31 |   9344   9344 |   40.3   82.8 |     4.4     4.7
E= 2^24 k= 2^13 ent=0.000    |      36.2      27.9  1.30 |    24    31 |   9344   9344 |   91.4   97.2 |    24.2    31.4
E= 2^28 k= 2^13 ent=0.000    |     479.2     260.1  1.84 |    24    31 |   9344   9344 |   84.2   97.2 |    29.2    53.9
E= 2^20 k= 2^18 ent=0.000    |      12.6      12.0  1.05 |    24    31 |   9344   9344 |   40.3   81.8 |     4.4     4.6
E= 2^24 k= 2^18 ent=0.000    |      36.8      28.3  1.30 |    24    31 |   9344   9344 |   91.6   96.6 |    23.8    31.0
E= 2^28 k= 2^18 ent=0.000    |     476.1     261.1  1.82 |    24    31 |   9344   9344 |   84.2   97.3 |    29.4    53.6
E= 2^24 k= 2^23 ent=0.000    |      37.2      27.9  1.33 |    24    31 |   9344   9344 |   91.6   96.9 |    23.6    31.4
