workload                     | b time us s time us   b/s | b reg s reg | b smem s smem | b occ% s occ% | b dram% s dram%
------------------------------------------------------------------------------------------------------------------------
E= 2^16 k=  2^3 ent=1.000    |      13.3      11.0  1.21 |    27    31 |   9344   9344 |   24.8   24.8 |     0.3     0.3
E= 2^20 k=  2^3 ent=1.000    |      13.7      19.3  0.71 |    27    31 |   9344   9344 |   38.9   85.4 |     4.0     2.9
E= 2^24 k=  2^3 ent=1.000    |      51.1      36.9  1.38 |    27    31 |   9344   9344 |   93.0   91.9 |    17.2    23.8
E= 2^28 k=  2^3 ent=1.000    |     754.5     350.8  2.15 |    27    31 |   9344   9344 |   98.0   87.5 |    18.6    39.9
E= 2^16 k=  2^8 ent=1.000    |      11.6      10.7  1.08 |    27    31 |   9344   9344 |   24.7   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=1.000    |      13.4      19.1  0.70 |    27    31 |   9344   9344 |   37.6   85.3 |     4.1     2.9
E= 2^24 k=  2^8 ent=1.000    |      51.3      37.4  1.37 |    27    31 |   9344   9344 |   92.6   92.0 |    17.1    23.5
E= 2^28 k=  2^8 ent=1.000    |     681.4     351.9  1.94 |    27    31 |   9344   9344 |   97.8   87.6 |    20.5    39.8
E= 2^16 k= 2^13 ent=1.000    |      13.0      10.8  1.20 |    27    31 |   9344   9344 |   24.7   24.8 |     0.3     0.3
E= 2^20 k= 2^13 ent=1.000    |      14.6      19.7  0.74 |    27    31 |   9344   9344 |   38.3   85.1 |     3.8     2.8
E= 2^24 k= 2^13 ent=1.000    |      51.9      36.5  1.42 |    27    31 |   9344   9344 |   92.9   91.8 |    16.9    24.0
E= 2^28 k= 2^13 ent=1.000    |     688.3     354.5  1.94 |    27    31 |   9344   9344 |   97.7   87.3 |    20.4    39.5
E= 2^20 k= 2^18 ent=1.000    |      13.2      19.2  0.69 |    27    31 |   9344   9344 |   38.1   85.2 |     4.2     2.9
E= 2^24 k= 2^18 ent=1.000    |      52.3      37.7  1.39 |    27    31 |   9344   9344 |   93.0   92.0 |    16.8    23.3
E= 2^28 k= 2^18 ent=1.000    |     687.7     353.3  1.95 |    27    31 |   9344   9344 |   97.7   87.4 |    20.4    39.6
E= 2^24 k= 2^23 ent=1.000    |      51.8      36.3  1.43 |    27    31 |   9344   9344 |   93.0   91.8 |    16.9    24.2
E= 2^28 k= 2^23 ent=1.000    |     693.0     354.5  1.95 |    27    31 |   9344   9344 |   97.9   87.3 |    20.2    39.5
E= 2^16 k=  2^3 ent=0.201    |      13.3      10.6  1.25 |    27    31 |   9344   9344 |   24.2   24.7 |     0.3     0.3
E= 2^20 k=  2^3 ent=0.201    |      13.8      15.3  0.90 |    27    31 |   9344   9344 |   37.5   84.3 |     4.0     3.6
E= 2^24 k=  2^3 ent=0.201    |      46.2      36.9  1.25 |    27    31 |   9344   9344 |   88.2   88.9 |    19.0    23.8
E= 2^28 k=  2^3 ent=0.201    |     499.0     406.2  1.23 |    27    31 |   9344   9344 |   87.3   83.0 |    28.1    34.5
E= 2^16 k=  2^8 ent=0.201    |      12.4      10.9  1.13 |    27    31 |   9344   9344 |   24.3   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=0.201    |      12.8      16.3  0.78 |    27    31 |   9344   9344 |   37.7   84.9 |     4.3     3.4
E= 2^24 k=  2^8 ent=0.201    |      40.3      37.6  1.07 |    27    31 |   9344   9344 |   91.2   88.9 |    21.7    23.3
E= 2^28 k=  2^8 ent=0.201    |     494.3     410.0  1.21 |    27    31 |   9344   9344 |   87.3   83.0 |    28.3    34.2
E= 2^16 k= 2^13 ent=0.201    |      12.8      11.0  1.16 |    27    31 |   9344   9344 |   24.1   24.8 |     0.3     0.3
E= 2^20 k= 2^13 ent=0.201    |      12.9      16.2  0.80 |    27    31 |   9344   9344 |   39.5   84.8 |     4.3     3.4
E= 2^24 k= 2^13 ent=0.201    |      40.8      38.4  1.06 |    27    31 |   9344   9344 |   91.3   88.7 |    21.5    22.9
E= 2^28 k= 2^13 ent=0.201    |     494.1     409.0  1.21 |    27    31 |   9344   9344 |   87.3   83.0 |    28.4    34.2
E= 2^20 k= 2^18 ent=0.201    |      12.5      15.6  0.80 |    27    31 |   9344   9344 |   39.2   84.8 |     4.4     3.5
E= 2^24 k= 2^18 ent=0.201    |      40.2      38.8  1.04 |    27    31 |   9344   9344 |   90.9   89.1 |    21.8    22.6
E= 2^28 k= 2^18 ent=0.201    |     495.3     410.4  1.21 |    27    31 |   9344   9344 |   87.3   83.0 |    28.3    34.1
E= 2^24 k= 2^23 ent=0.201    |      39.6      38.5  1.03 |    27    31 |   9344   9344 |   91.4   88.6 |    22.2    22.8
E= 2^28 k= 2^23 ent=0.201    |     495.4     405.2  1.22 |    27    31 |   9344   9344 |   87.3   82.9 |    28.3    34.5
E= 2^16 k=  2^3 ent=0.000    |      11.7      11.0  1.06 |    27    31 |   9344   9344 |   23.7   24.7 |     0.3     0.3
E= 2^20 k=  2^3 ent=0.000    |      11.8      11.6  1.01 |    27    31 |   9344   9344 |   41.0   82.2 |     4.7     4.8
E= 2^24 k=  2^3 ent=0.000    |      32.2      27.8  1.16 |    27    31 |   9344   9344 |   92.9   96.9 |    27.3    31.6
E= 2^28 k=  2^3 ent=0.000    |     387.4     261.1  1.48 |    27    31 |   9344   9344 |   86.9   97.2 |    36.1    53.7
E= 2^16 k=  2^8 ent=0.000    |      11.4      10.8  1.05 |    27    31 |   9344   9344 |   23.9   24.7 |     0.3     0.3
E= 2^20 k=  2^8 ent=0.000    |      12.7      12.5  1.01 |    27    31 |   9344   9344 |   42.0   82.0 |     4.4     4.4
E= 2^24 k=  2^8 ent=0.000    |      31.5      28.1  1.12 |    27    31 |   9344   9344 |   92.8   96.7 |    27.9    31.2
E= 2^28 k=  2^8 ent=0.000    |     387.0     259.6  1.49 |    27    31 |   9344   9344 |   87.1   97.2 |    36.2    53.9
E= 2^16 k= 2^13 ent=0.000    |      11.7      11.1  1.05 |    27    31 |   9344   9344 |   24.6   24.7 |     0.3     0.3
E= 2^20 k= 2^13 ent=0.000    |      11.9      11.8  1.01 |    27    31 |   9344   9344 |   42.4   82.8 |     4.6     4.7
E= 2^24 k= 2^13 ent=0.000    |      32.3      27.9  1.15 |    27    31 |   9344   9344 |   93.0   97.2 |    27.2    31.4
E= 2^28 k= 2^13 ent=0.000    |     397.5     260.1  1.53 |    27    31 |   9344   9344 |   86.8   97.2 |    35.2    53.9
E= 2^20 k= 2^18 ent=0.000    |      11.6      12.0  0.96 |    27    31 |   9344   9344 |   41.2   81.8 |     4.8     4.6
E= 2^24 k= 2^18 ent=0.000    |      32.4      28.3  1.14 |    27    31 |   9344   9344 |   92.7   96.6 |    27.1    31.0
E= 2^28 k= 2^18 ent=0.000    |     392.6     261.1  1.50 |    27    31 |   9344   9344 |   86.9   97.3 |    35.7    53.6
E= 2^24 k= 2^23 ent=0.000    |      32.3      27.9  1.16 |    27    31 |   9344   9344 |   92.7   96.9 |    27.1    31.4
E= 2^28 k= 2^23 ent=0.000    |     387.6     260.1  1.49 |    27    31 |   9344   9344 |   87.0   97.2 |    36.1    53.8

summary: total batched time 8827.2 us, total single time 5909.6 us, ratio 1.494x
